STT,FileName,StatementDate,ImportDate,RecordsCount,Status,ImportedBy,FileType,Category,Notes
1,7808_ln01_20250430.csv,30/04/2025,26/06/2025 04:17:18,848,Completed,System,LN01,LN01, - Branch: 7808
2,7808_ln01_20250430.csv,30/04/2025,26/06/2025 14:20:08,848,Completed,System,LN01,LN01, - Branch: 7808
3,7808_ln01_20250531.csv,31/05/2025,26/06/2025 04:17:40,843,Completed,System,LN01,LN01, - Branch: 7808
4,7808_ln01_20250531.csv,31/05/2025,26/06/2025 14:20:34,843,Completed,System,LN01,LN01, - Branch: 7808
