MA_CN,LOAI_TIEN,MA_TK,TEN_TK,LOAI_BT,DN_DAUKY,DC_DAUKY,SBT_NO,ST_GHINO,SBT_CO,ST_GHICO,DN_CUOIKY,DC_CUOIKY
"7808","VND","63    ","Chênh lệch tỷ giá hối đoái, vàng bạc đá quý","'C","0                      ","-48512                 ","0     ","0                      ","1     ","2632                   ","0                      ","-45880                 "
"7808","VND","631   ","Chênh lệch tỷ giá hối đoái","'C","0                      ","-48512                 ","0     ","0                      ","1     ","2632                   ","0                      ","-45880                 "
"7808","VND","6311  ","Chênh lệch tỷ giá hối đoái đánh giá lại vào thời đi","'C","0                      ","-48512                 ","0     ","0                      ","1     ","2632                   ","0                      ","-45880                 "
"7808","VND","631101","Chênh lệch tỷ giá hối đoái đánh giá lại vào thời đi","'C","0                      ","-48512                 ","0     ","0                      ","1     ","2632                   ","0                      ","-45880                 "
"7808","VND","69    ","Lợi nhuận chưa phân phối","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","VND","692   ","Lợi nhuận năm trước","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","VND","6920  ","Lợi nhuận năm trước","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","VND","692001","Lợi nhuận năm trước","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","VND","7     ","Thu nhập","'C","0                      ","11353567783            ","1312  ","1748411376             ","905   ","907159358              ","0                      ","10512315765            "
"7808","VND","70    ","Thu nhập từ hoạt động tín dụng","'C","0                      ","9038831185             ","780   ","353032011              ","807   ","887879554              ","0                      ","9573678728             "
"7808","VND","702   ","Thu lãi cho vay ","'C","0                      ","9017255188             ","746   ","333011569              ","807   ","887879554              ","0                      ","9572123173             "
"7808","VND","7020  ","Thu lãi cho vay ","'C","0                      ","9017255188             ","746   ","333011569              ","807   ","887879554              ","0                      ","9572123173             "
"7808","VND","702001","Thu lãi cho vay ngắn hạn","'C","0                      ","381259727              ","137   ","57974504               ","143   ","58065071               ","0                      ","381350294              "
